organization,package,month,commits
swift-primitives,swift-sample-primitives,2026-04,4
swift-primitives,swift-scalar-primitives,2026-01,2
swift-primitives,swift-scalar-primitives,2026-02,2
swift-primitives,swift-scalar-primitives,2026-03,2
swift-primitives,swift-scalar-primitives,2026-04,3
swift-primitives,swift-sequence-primitives,2026-01,17
swift-primitives,swift-sequence-primitives,2026-02,17
swift-primitives,swift-sequence-primitives,2026-03,9
swift-primitives,swift-sequence-primitives,2026-04,5
swift-primitives,swift-serializer-primitives,2026-01,5
swift-primitives,swift-serializer-primitives,2026-02,2
swift-primitives,swift-serializer-primitives,2026-03,6
swift-primitives,swift-serializer-primitives,2026-04,4
swift-primitives,swift-set-primitives,2026-01,39
swift-primitives,swift-set-primitives,2026-02,23
swift-primitives,swift-set-primitives,2026-03,26
swift-primitives,swift-set-primitives,2026-04,6
swift-primitives,swift-slab-primitives,2026-01,13
swift-primitives,swift-slab-primitives,2026-02,10
swift-primitives,swift-slab-primitives,2026-03,7
swift-primitives,swift-slab-primitives,2026-04,5
swift-primitives,swift-slice-primitives,2026-01,2
swift-primitives,swift-slice-primitives,2026-02,3
swift-primitives,swift-slice-primitives,2026-03,4
swift-primitives,swift-slice-primitives,2026-04,3
swift-primitives,swift-source-primitives,2026-01,1
swift-primitives,swift-source-primitives,2026-02,5
swift-primitives,swift-source-primitives,2026-03,3
swift-primitives,swift-source-primitives,2026-04,3
swift-primitives,swift-space-primitives,2026-01,2
swift-primitives,swift-space-primitives,2026-02,4
swift-primitives,swift-space-primitives,2026-03,3
swift-primitives,swift-space-primitives,2026-04,3
swift-primitives,swift-stack-primitives,2026-01,25
swift-primitives,swift-stack-primitives,2026-02,17
swift-primitives,swift-stack-primitives,2026-03,17
swift-primitives,swift-stack-primitives,2026-04,4
swift-primitives,swift-standard-library-extensions,2026-01,12
swift-primitives,swift-standard-library-extensions,2026-02,4
swift-primitives,swift-standard-library-extensions,2026-03,15
swift-primitives,swift-standard-library-extensions,2026-04,6
swift-primitives,swift-state-primitives,2026-01,4
swift-primitives,swift-state-primitives,2026-02,2
swift-primitives,swift-state-primitives,2026-03,2
swift-primitives,swift-state-primitives,2026-04,3
swift-primitives,swift-storage-primitives,2026-01,24
swift-primitives,swift-storage-primitives,2026-02,78
swift-primitives,swift-storage-primitives,2026-03,21
swift-primitives,swift-storage-primitives,2026-04,7
swift-primitives,swift-string-primitives,2026-01,6
swift-primitives,swift-string-primitives,2026-02,2
swift-primitives,swift-string-primitives,2026-03,8
swift-primitives,swift-string-primitives,2026-04,4
swift-primitives,swift-symbol-primitives,2026-01,1
swift-primitives,swift-symbol-primitives,2026-02,2
swift-primitives,swift-symbol-primitives,2026-03,1
swift-primitives,swift-symbol-primitives,2026-04,3
swift-primitives,swift-symmetry-primitives,2026-01,13
swift-primitives,swift-symmetry-primitives,2026-02,4
swift-primitives,swift-symmetry-primitives,2026-03,4
swift-primitives,swift-symmetry-primitives,2026-04,3
swift-primitives,swift-syntax-primitives,2026-01,1
swift-primitives,swift-syntax-primitives,2026-02,2
swift-primitives,swift-syntax-primitives,2026-03,1
swift-primitives,swift-syntax-primitives,2026-04,3
swift-primitives,swift-system-primitives,2026-01,5
swift-primitives,swift-system-primitives,2026-02,2
swift-primitives,swift-system-primitives,2026-03,6
swift-primitives,swift-system-primitives,2026-04,4
swift-primitives,swift-terminal-primitives,2026-01,7
swift-primitives,swift-terminal-primitives,2026-02,2
swift-primitives,swift-terminal-primitives,2026-03,9
swift-primitives,swift-terminal-primitives,2026-04,5
swift-primitives,swift-test-primitives,2026-01,10
swift-primitives,swift-test-primitives,2026-02,10
swift-primitives,swift-test-primitives,2026-03,23
swift-primitives,swift-test-primitives,2026-04,6
swift-primitives,swift-text-primitives,2026-01,2
swift-primitives,swift-text-primitives,2026-02,5
swift-primitives,swift-text-primitives,2026-03,2
swift-primitives,swift-text-primitives,2026-04,4
swift-primitives,swift-time-primitives,2026-01,10
swift-primitives,swift-time-primitives,2026-02,4
swift-primitives,swift-time-primitives,2026-03,5
swift-primitives,swift-time-primitives,2026-04,3
swift-primitives,swift-token-primitives,2026-01,1
swift-primitives,swift-token-primitives,2026-02,2
swift-primitives,swift-token-primitives,2026-03,2
swift-primitives,swift-token-primitives,2026-04,3
swift-primitives,swift-transform-primitives,2026-01,2
swift-primitives,swift-transform-primitives,2026-02,4
swift-primitives,swift-transform-primitives,2026-03,3
swift-primitives,swift-transform-primitives,2026-04,3
swift-primitives,swift-tree-primitives,2026-01,18
swift-primitives,swift-tree-primitives,2026-02,11
swift-primitives,swift-tree-primitives,2026-03,18
swift-primitives,swift-tree-primitives,2026-04,9
swift-primitives,swift-type-primitives,2026-01,1
swift-primitives,swift-type-primitives,2026-02,2
swift-primitives,swift-type-primitives,2026-03,1
swift-primitives,swift-type-primitives,2026-04,3
swift-primitives,swift-vector-primitives,2026-01,15
swift-primitives,swift-vector-primitives,2026-02,16
swift-primitives,swift-vector-primitives,2026-03,6
swift-primitives,swift-vector-primitives,2026-04,4
swift-primitives,swift-witness-primitives,2026-01,8
swift-primitives,swift-witness-primitives,2026-02,4
swift-primitives,swift-witness-primitives,2026-03,3
swift-primitives,swift-witness-primitives,2026-04,3
swift-standards,swift-standards,2026-03,20
swift-standards,swift-standards,2026-04,2
swift-standards,swift-color-standard,2025-12,2
swift-standards,swift-color-standard,2026-01,7
swift-standards,swift-color-standard,2026-02,3
swift-standards,swift-color-standard,2026-03,4
swift-standards,swift-color-standard,2026-04,2
swift-standards,swift-css-standard,2025-11,6
swift-standards,swift-css-standard,2025-12,11
swift-standards,swift-css-standard,2026-01,5
swift-standards,swift-css-standard,2026-02,3
swift-standards,swift-css-standard,2026-03,4
swift-standards,swift-css-standard,2026-04,2
swift-standards,swift-darwin-standard,2026-01,2
swift-standards,swift-darwin-standard,2026-02,2
swift-standards,swift-darwin-standard,2026-03,3
swift-standards,swift-darwin-standard,2026-04,8
swift-standards,swift-domain-standard,2025-07,2
swift-standards,swift-domain-standard,2025-10,13
swift-standards,swift-domain-standard,2025-11,24
swift-standards,swift-domain-standard,2025-12,10
swift-standards,swift-domain-standard,2026-01,5
swift-standards,swift-domain-standard,2026-02,3
swift-standards,swift-domain-standard,2026-03,5
swift-standards,swift-domain-standard,2026-04,2
swift-standards,swift-email-standard,2025-11,28
swift-standards,swift-email-standard,2025-12,5
swift-standards,swift-email-standard,2026-01,5
swift-standards,swift-email-standard,2026-02,3
swift-standards,swift-email-standard,2026-03,4
swift-standards,swift-email-standard,2026-04,2
swift-standards,swift-emailaddress-standard,2025-07,2
swift-standards,swift-emailaddress-standard,2025-08,1
swift-standards,swift-emailaddress-standard,2025-10,12
swift-standards,swift-emailaddress-standard,2025-11,28
swift-standards,swift-emailaddress-standard,2025-12,5
swift-standards,swift-emailaddress-standard,2026-01,5
swift-standards,swift-emailaddress-standard,2026-02,3
swift-standards,swift-emailaddress-standard,2026-03,4
swift-standards,swift-emailaddress-standard,2026-04,2
swift-standards,swift-epub-standard,2026-01,5
swift-standards,swift-epub-standard,2026-02,3
swift-standards,swift-epub-standard,2026-03,3
swift-standards,swift-epub-standard,2026-04,2
swift-standards,swift-html-standard,2025-12,10
swift-standards,swift-html-standard,2026-01,6
swift-standards,swift-html-standard,2026-02,4
swift-standards,swift-html-standard,2026-03,4
swift-standards,swift-html-standard,2026-04,2
swift-standards,swift-ipv4-standard,2025-11,3
swift-standards,swift-ipv4-standard,2025-12,7
swift-standards,swift-ipv4-standard,2026-01,5
swift-standards,swift-ipv4-standard,2026-02,3
swift-standards,swift-ipv4-standard,2026-03,3
swift-standards,swift-ipv4-standard,2026-04,2
swift-standards,swift-ipv6-standard,2025-11,3
swift-standards,swift-ipv6-standard,2025-12,7
swift-standards,swift-ipv6-standard,2026-01,5
swift-standards,swift-ipv6-standard,2026-02,3
swift-standards,swift-ipv6-standard,2026-03,3
swift-standards,swift-ipv6-standard,2026-04,2
swift-standards,swift-json-feed-standard,2025-11,13
swift-standards,swift-json-feed-standard,2025-12,6
swift-standards,swift-json-feed-standard,2026-01,5
swift-standards,swift-json-feed-standard,2026-02,3
swift-standards,swift-json-feed-standard,2026-03,4
